33 Taps,1500,200,CA55374,(630) 798-2477,7360 E. Poor House Drive,San Jose,CA
ABV,1300,100,TX56461,(500) 460-9776,803 Bedford Drive,San Antonio,TX
Academia,1400,200,TX89768,(352) 740-1636,29 Sunnyslope Ave.,El Paso,TX
AIDA Bistro & Wine Bar,1200,300,MI99487,(761) 722-6766,707 Kent Road,Detroit,MI
Altitude Sky Lounge,1500,200,MA10368,(560) 570-4337,335 W. Thompson St.,Boston,MA
Anvil Bar & Refuge,1400,200,TX79923,(800) 434-5299,8034 Sycamore St.,El Paso,TX
Apotheke,1200,400,MI47860,(237) 824-0214,480 Harrison St.,Detroit,MI
Attaboy,1400,200,IL83435,(547) 318-7158,9503 Pulaski St.,Chicago,IL
B.D. Riley's,1400,100,OH77385,(919) 404-3621,986 Golden Star St.,Columbus,OH
BackBar,1500,100,TX16724,(291) 302-6714,59 Penn St.,San Antonio,TX
Bar Agricole,1200,200,CA54886,(318) 419-5407,46 Princeton Drive,San Diego,CA
Bar Crudo,1300,300,PA85402,(700) 545-8100,855 Jennings Drive,Philadelphia,PA
Bar Goto,1500,400,CA21915,(399) 855-9807,4 West Golf Street,Los Angeles,CA
Bar Liquorice,1500,300,MI66631,(849) 931-0584,753 Tallwood Street,Detroit,MI
Barmini,1200,300,MI27938,(736) 585-0378,350 Rocky River Dr.,Detroit,MI
Barnacle Bar,1400,100,IN70347,(461) 899-2670,537 Lyme St.,Indianapolis,IN
Beach Tree Bar,1300,300,TX94825,(286) 910-6676,551 Brown Street,El Paso,TX
Big Bar,1400,400,MA34078,(239) 517-0025,8483 East Pendergast St.,Boston,MA
Billy Sunday,1500,300,WA38833,(580) 389-0660,427 North Littleton Ave.,Seattle,WA
Bit House Saloon,1200,100,TX32707,(937) 601-4878,444 Jones Ave.,San Antonio,TX
Blackberry Farm,1500,400,WA75675,(357) 421-7433,9936 Gainsway St.,Seattle,WA
BlackTail,1500,100,TX48302,(450) 263-5164,3 Hudson Ave.,Houston,TX
Brimmer & Heeltap,1300,100,PA14245,(594) 970-1006,14 Shore Drive,Philadelphia,PA
Broken Shaker,1200,400,MA80466,(861) 522-4205,22 Hickory St.,Boston,MA
Cafe D'Mongo's Speakeasy,1200,100,FL78542,(914) 479-8408,229 North Williams Ave.,Jacksonville,FL
Callaghan's Irish Social Club,1300,400,IN65629,(824) 237-7095,68 Maple Ave.,Indianapolis,IN
Cannon,1400,300,FL61405,(319) 753-9772,5 John St.,Jacksonville,FL
Charlie B's,1500,100,NY17287,(246) 587-4229,25 Arlington St.,New York City,NY
Charlie Was A Sinner,1500,200,TX21226,(390) 887-8129,7824 Oakwood St.,Houston,TX
Clover Club,1400,300,TX11305,(865) 542-1238,377 Marvon Ave.,Houston,TX
Club No Minors,1500,100,PA71596,(256) 400-5095,8724 Willow St.,Philadelphia,PA
Clyde Common,1200,200,CA93187,(222) 993-7973,159 Bear Hill Ave.,San Diego,CA
Cooter Brown's Tavern,1300,100,CA60513,(620) 470-0675,367 Wakehurst St.,San Francisco,CA
Dante,1400,300,AZ14304,(446) 745-7402,942 Pacific Lane,Phoenix,AZ
Daquiri Time Out,1400,400,NY32209,(999) 544-9859,56 E. Harvey St.,New York City,NY
Death & Company,1200,200,CA59476,(397) 509-3022,227 Essex Street,San Diego,CA
Diamond Reef,1400,100,NV75540,(734) 978-1811,8922 Aspen St.,Las Vegas,NV
Dick's Place,1200,300,MA65628,(612) 719-9908,837 Blue Spring Court,Boston,MA
Distil,1200,100,TX63670,(205) 703-9714,366 School Lane,El Paso,TX
Donna,1300,400,CA67645,(214) 995-7121,8322 Swanson Lane,San Diego,CA
Dram & Grain,1400,100,FL95253,(680) 528-1356,165 Wayne Rd.,Jacksonville,FL
Dutch Kills,1500,300,WA14348,(594) 246-5740,9546 Walnutwood St.,Seattle,WA
Edna's,1500,400,PA26219,(524) 433-3186,9938 Jennings Ave.,Philadelphia,PA
Employees Only,1500,100,NV91022,(716) 789-1950,53 Second Dr.,Las Vegas,NV
Everson Royce Bar,1500,300,WA73971,(621) 931-2491,632 South Wellington Ave.,Seattle,WA
Frankie's Downtown,1200,300,MI51241,(309) 868-2067,245 Lantern Ave.,Detroit,MI
French 75,1200,300,CA41086,(499) 734-8363,7523 W. Gonzales Court,San Diego,CA
Galaxie,1400,100,TX99113,(446) 797-4438,7368 Military Ave.,Dallas,TX
George & Dragon,1500,300,FL15384,(486) 487-5027,112 Brown Ave.,Jacksonville,FL
Goodnight Gracie,1300,100,TX77972,(462) 568-9142,2 San Juan St.,El Paso,TX
Gooski's,1300,200,TX92581,(346) 987-7655,8627 Marlborough St.,Fort Worth,TX
Half Step,1400,300,OH73723,(842) 825-5436,614 W. Creekside Street,Columbus,OH
Holeman & Finch Public House,1400,100,MA21055,(529) 261-2897,18 State Street,Boston,MA
Johnny's Tavern,1400,400,TX32931,(785) 686-3235,8620 Snake Hill Lane,El Paso,TX
Julep,1400,300,TN68187,(645) 739-0589,9770 Pilgrim St.,Nashville,TN
Kask,1500,200,IL12554,(917) 279-6847,26 West Cottage Ave.,Chicago,IL
King Cole Bar,1400,300,TN59461,(927) 324-3781,7614 Van Dyke Ave.,Nashville,TN
Kon Tiki Lounge,1500,300,OH39457,(316) 700-6198,8091 Newcastle Street,Columbus,OH
Leyenda,1300,400,OH15902,(922) 770-6340,346 S. Glen Eagles Avenue,Columbus,OH
Libertine Liquor Bar,1300,300,TX30996,(248) 673-2574,271 West Devonshire Ave.,Fort Worth,TX
Lost Lake,1200,300,TX78491,(667) 691-1786,66 Wintergreen St.,Fort Worth,TX
Mace,1300,300,MA70382,(949) 667-4587,1 N. Fawn Street,Boston,MA
Mai Tai Bar,1400,300,TX60358,(276) 241-7102,9210 York Street,Fort Worth,TX
Maison Premiere,1400,300,PA96836,(918) 276-0228,995 Cemetery Drive,Philadelphia,PA
Mario's Fishbowl,1300,400,IL16158,(888) 438-5064,23 Airport Court,Chicago,IL
Marvel Bar,1300,200,FL52652,(459) 974-2661,65 New Saddle Drive,Jacksonville,FL
McGillin's Old Ale House,1400,400,PA15207,(859) 712-8116,686 Ketch Harbour Ave.,Philadelphia,PA
McGovern's Tavern,1300,400,NC61221,(458) 696-5974,30 Pennsylvania Road,Charlotte,NC
McGreevy's,1200,400,CA84118,(711) 449-8408,8493 Fairview St.,San Francisco,CA
McMahon's Public House,1400,300,WA71692,(776) 829-2853,8075 Bayberry St.,Seattle,WA
McSorley's Old Ale House,1200,300,IN61062,(916) 275-5296,69 Adams St.,Indianapolis,IN
Milk Room,1200,200,AZ45162,(549) 615-4144,861 Schoolhouse Street,Phoenix,AZ
Million Dollar Cowboy Bar,1300,200,MI72822,(438) 456-7567,8478 Piper St.,Detroit,MI
Molly's Shebeen,1400,400,OH56603,(308) 781-8941,522 Ann Lane,Columbus,OH
Monk's Cafe,1500,100,CA99522,(232) 598-8153,1 Edgewood Street,San Francisco,CA
Multnomah Whiskey Library,1500,300,IL12183,(802) 243-0113,98 Old Richardson Dr.,Chicago,IL
Nick's English Hut,1500,400,IN93907,(353) 657-6965,7788 Vine Ave.,Indianapolis,IN
No Vacancy,1300,100,IL92159,(250) 360-9974,916 Bayport Dr.,Chicago,IL
Occidental,1500,200,TX59911,(576) 874-8395,987 S. Rosewood Road,Austin,TX
Old Ebbitt Grill,1300,200,TX68751,(267) 844-9567,723 Wentworth Dr.,Dallas,TX
Pengilly's Saloon,1500,200,TN99111,(889) 389-6515,341 Summerhouse Ave.,Nashville,TN
Pete's Dueling Piano Bar,1500,300,IN20953,(980) 502-5277,4 East Beechwood Avenue,Indianapolis,IN
Please Don't Tell,1300,400,CA56595,(515) 352-7628,89 Hillside St.,San Francisco,CA
Polite Provisions,1500,100,CO21844,(700) 396-0024,7932 Shub Farm St.,Denver,CO
Prairie School,1300,300,TX76558,(644) 373-8410,55 Green Hill Court,Fort Worth,TX
Prizefighter,1500,400,TN95328,(893) 655-4531,5 Johnson Ave.,Memphis,TN
Proof,1500,300,TN77922,(671) 645-0013,8786 Cypress St.,Nashville,TN
Public House,1200,100,CO99352,(435) 856-0917,12 Lawrence St.,Denver,CO
PX,1500,100,NV71200,(547) 399-7226,93 West Gregory Ave.,Las Vegas,NV
Range,1200,400,CA45196,(975) 632-2158,7902 Birchpond Street,San Francisco,CA
Raven & Rose,1500,200,PA73689,(565) 749-6422,6 Johnson Lane,Philadelphia,PA
Red Key Tavern,1400,200,FL98938,(994) 466-4707,7793 Foxrun Street,Jacksonville,FL
Robert's Western World,1500,200,OH37502,(931) 425-4975,8557 Rockledge St.,Columbus,OH
ROKC,1200,300,IL31231,(329) 894-7522,403 Adams St.,Chicago,IL
Room 11,1200,200,TX74590,(477) 559-0853,60 Bedford Drive,Houston,TX
Salty Dawg Saloon,1200,400,OH52963,(345) 635-4307,8377 Tanglewood Court,Columbus,OH
Sassafras Saloon,1400,400,TX67134,(544) 357-2327,719 Center Ave.,Houston,TX
Sazerac Bar,1500,400,TX87348,(441) 864-4014,9116 Valley Rd.,Fort Worth,TX
Seamstress,1300,300,IL73058,(843) 247-6191,528 North Rockledge Dr.,Chicago,IL
Slowly Shirley,1200,400,WA99468,(686) 787-7237,8 Jockey Hollow Avenue,Seattle,WA
Social,1500,100,CA68404,(375) 395-6574,8227 Shadow Brook Ave.,San Diego,CA
Spilt Milk,1200,400,NC63438,(815) 673-7915,308 E. Hill Field Court,Charlotte,NC
Spirit,1300,100,TX59710,(790) 648-0844,85 West Ashley Rd.,Houston,TX
Spirit of 77,1200,300,NC45030,(372) 483-9625,289 Galvin Rd.,Charlotte,NC
Square Grouper Tiki Bar,1500,200,TX17958,(743) 743-3445,9 W. Willow Ave.,El Paso,TX
Sweet Liberty,1500,300,TN65648,(364) 856-4201,9874 Wrangler Drive,Nashville,TN
Taste Bar,1200,400,NY77111,(607) 224-0327,451 Rockledge Street,New York City,NY
The Aggressive Piano Tavern,1400,100,TN64509,(717) 628-3570,28 3rd Street,Nashville,TN
The Alembic,1300,200,TX81935,(343) 958-3866,2 Hamilton Street,El Paso,TX
The Alien Elephant Seal Inn,1300,100,IL89357,(908) 828-2927,786 Homewood Street,Chicago,IL
The Alien Knife Tavern,1500,300,TX78359,(520) 832-1446,553 Main St.,Fort Worth,TX
The Annoying Shark,1300,200,AZ90617,(484) 846-1350,94 Talbot St.,Phoenix,AZ
The Aviary,1500,300,TN24894,(528) 805-2688,29 Arnold Dr.,Memphis,TN
The Baldwin,1400,300,NV69643,(914) 929-4649,254 Sherman Ave.,Las Vegas,NV
The Bar Room,1400,100,FL74447,(455) 988-4881,43 Homewood Court,Jacksonville,FL
The Beachcomber,1300,300,TX19110,(541) 211-2821,3 West Depot Lane,Austin,TX
The Beautiful Snowdrop Tavern,1500,300,TN31694,(717) 961-7570,782 Euclid Drive,Nashville,TN
The Bella Union,1300,300,TX31032,(764) 357-5103,13 Arrowhead St.,Fort Worth,TX
The Better Princess Pub,1400,300,MI30324,(610) 447-5416,273 East Sierra Ave.,Detroit,MI
The Bouncy Bat Bar,1300,100,OH46606,(606) 236-5071,9581 Mill Ave.,Columbus,OH
The Brewer's Art,1400,100,TX76313,(448) 602-7217,8 Studebaker Drive,Fort Worth,TX
The Busy Anteater Pub,1400,300,OH12121,(416) 283-3299,91 Parker Avenue,Columbus,OH
The Capital Bar,1400,200,MA82070,(991) 845-2139,8696 Sutor Ave.,Boston,MA
The Carousel Bar,1300,200,CA80823,(441) 275-0945,8 Brown Street,San Jose,CA
The Cowardly Tavern,1300,200,IL41914,(691) 358-6301,291 Arrowhead St.,Chicago,IL
The Creepy Snake Tavern,1200,200,TX76132,(982) 833-0105,835 Roberts Drive,Houston,TX
The Daily Hamster Inn,1500,400,CA89942,(562) 960-1327,82 W. St Louis Lane,Los Angeles,CA
The Dapper Flame,1500,400,TX12469,(264) 966-6398,774 Marsh Dr.,San Antonio,TX
The Dark Melon Tavern,1200,400,WA37728,(616) 214-2162,57 Glen Eagles St.,Seattle,WA
The Dead Rabbit,1200,200,CA25124,(886) 811-1838,929 West Harrison Drive,Los Angeles,CA
The Deep Hog Pub,1400,400,TX30169,(301) 667-5448,9297 Overlook Street,Austin,TX
The Defeated Angel Pub,1300,100,AZ31918,(594) 640-7687,7444 Prospect Street,Phoenix,AZ
The Detailed Horn Pub,1300,200,TX28438,(809) 698-7597,7 Indian Spring Ave.,San Antonio,TX
The Diamond Star Bar,1300,100,MI65214,(677) 222-5044,12 Joy Ridge Street,Detroit,MI
The Different Lemon Inn,1400,400,TX99844,(306) 925-3445,8413 John St.,Houston,TX
The Dirty Wall Pub,1200,200,IN36064,(282) 545-2193,7108 Lafayette Street,Indianapolis,IN
The Discreet Bamboo Bar,1400,400,WA88335,(907) 558-3328,8 E. Somerset Dr.,Seattle,WA
The Dramatic Parrots,1400,300,CA57427,(487) 497-6837,7894 Lawrence Ave.,Los Angeles,CA
The Dubliner,1200,200,PA62503,(442) 313-1839,9479 Cedar Dr.,Philadelphia,PA
The Earthy Mind Pub,1200,300,IN26362,(201) 727-0904,831 Shirley Dr.,Indianapolis,IN
The Electric Chicken,1500,300,CO95954,(339) 286-4031,9102 Kirkland Rd.,Denver,CO
The Embarrassed Goat,1500,100,TX33163,(343) 543-1828,83 Grand Dr.,Houston,TX
The Embarrassed Hamsters Tavern,1400,300,IL69903,(211) 823-8546,7882 West Race St.,Chicago,IL
The Embarrassed Rabbit Bar,1200,200,NC25325,(643) 593-2713,79 Gainsway Rd.,Charlotte,NC
The Ethereal Steed Inn,1500,300,WA80287,(599) 638-7691,149 N. San Pablo Ave.,Seattle,WA
The Faint Stream,1300,200,OH71584,(377) 275-8102,7603 Goldfield St.,Columbus,OH
The Fancy Parrots,1400,200,PA11723,(734) 389-9206,105 South Ridge Ave.,Philadelphia,PA
The Far Away Llama,1300,100,TX76585,(315) 918-5944,679 Cooper Street,San Antonio,TX
The Far Barrel Bar,1200,100,CA51196,(815) 992-9084,602 Brookside St.,San Diego,CA
The Fascinated Termite,1400,300,TX64509,(490) 396-5521,696 Kingston Road,Austin,TX
The Fine Lobster Bar,1500,200,CA32250,(290) 723-3329,8220 Deerfield Rd.,San Francisco,CA
The First Sharks Tavern,1200,300,OH28068,(485) 662-9397,9952 North Garden Drive,Columbus,OH
The Foamy Ore,1200,100,CA92772,(212) 480-6380,381 Alton Lane,San Diego,CA
The Frightened Kiwi Pub,1200,400,WA86009,(352) 679-2304,8499 Poor House St.,Seattle,WA
The Fuzy Goat Pub,1300,100,OH22963,(755) 484-2508,8170 Clark Ave.,Columbus,OH
The Fuzy Llama Pub,1300,100,NY93953,(225) 884-6947,970 New Street,New York City,NY
The German Table Tavern,1500,200,PA13543,(529) 635-7431,264 Silver Spear Rd.,Philadelphia,PA
The Gigantic Child Pub,1200,200,AZ52637,(555) 540-3318,9759 West 10th Lane,Phoenix,AZ
The Greasy Scream Pub,1400,100,TN92124,(299) 679-4920,176 Squaw Creek Ave.,Memphis,TN
The Griswold,1300,200,CA59331,(559) 862-8239,9939 Prince St.,San Diego,CA
The Hawthorne,1300,200,TN10411,(633) 406-3982,973 Brickell Dr.,Nashville,TN
The Hissing Bees Pub,1200,200,TX51371,(952) 303-2583,8774 Cottage Drive,El Paso,TX
The Hissing Cats Tavern,1500,200,TN96766,(467) 522-8533,531 Thomas St.,Memphis,TN
The Hollow Book,1300,300,NC63204,(408) 434-1249,356 Peninsula Street,Charlotte,NC
The Hollow Worm Pub,1400,300,IL15049,(338) 746-9215,59 East Gulf Ave.,Chicago,IL
The Impolite Dagger,1300,100,TX46780,(727) 624-4789,459 Winchester Dr.,Fort Worth,TX
The Itchy Ants Inn,1400,100,CO30764,(438) 636-9718,208 Smith Store St.,Denver,CO
The Keen Vanilla Bean Inn,1500,100,AZ88003,(881) 343-8801,533 Canterbury St.,Phoenix,AZ
The Kill Devil Club,1400,100,IL85474,(459) 699-8599,8321 Schoolhouse St.,Chicago,IL
The Kind Jaguar Bar,1500,400,CO27118,(309) 437-9638,41 Stillwater Lane,Denver,CO
The Kind Planet Pub,1300,200,CA30472,(865) 701-5089,24 West Newcastle St.,San Diego,CA
The Known Dragons,1400,300,IL46086,(693) 637-4005,852 Bay Lane,Chicago,IL
The Lean Steed Tavern,1200,100,TX81706,(227) 474-2640,236A Oak Valley Lane,Houston,TX
The Left Scream Pub,1200,400,MI44532,(711) 828-0037,249 Kirkland Court,Detroit,MI
The Light Dagger Tavern,1200,100,MI70246,(308) 523-4416,641 St Paul Ave.,Detroit,MI
The Lively Tusk Bar,1500,200,AZ72834,(405) 975-5133,23 Lake Lane,Phoenix,AZ
The Lying Coyote,1400,300,CA63942,(254) 603-0690,926 Coffee Ave.,Los Angeles,CA
The Magdalenae Room,1500,100,NC20674,(339) 308-0347,8016 Alderwood Ave.,Charlotte,NC
The Magical Hawk,1300,100,TN57436,(904) 503-6234,9992 Ridge Street,Nashville,TN
The Marvelous Puppy Inn,1400,100,MI27952,(589) 203-5882,62 West Rockville Ave.,Detroit,MI
The Merciful Lavender,1400,400,TN19926,(419) 605-0642,741 West Manhattan Drive,Nashville,TN
The Molten Llama,1500,400,MI51077,(295) 796-0794,129 Illinois Street,Detroit,MI
The No Mad Bar,1300,200,PA70125,(646) 459-5781,8837 Nichols Lane,Philadelphia,PA
The Obedient Lyre,1200,300,CO10327,(400) 989-2791,7722 Morris St.,Denver,CO
The Obnoxious Lobster Inn,1400,400,TN26063,(666) 905-5560,596 Mayfair Street,Memphis,TN
The Odd Snail Tavern,1300,100,WA88876,(867) 820-3639,326 North Jennings Dr.,Seattle,WA
The Office,1200,100,OH40538,(968) 937-8098,443 Charles Ave.,Columbus,OH
The Old Seelbach Bar,1500,300,PA83821,(700) 556-9390,98 Lake View Street,Philadelphia,PA
The Pointless Rhododendron Inn,1500,200,IL15707,(388) 467-5812,14 S. Winding Way,Chicago,IL
The Polo Lounge,1500,400,IL45939,(615) 818-2306,8857 Carriage Street,Chicago,IL
The Porter Beer Bar,1300,200,TX64843,(380) 241-9666,9665 Baker Avenue,Houston,TX
The Precious Apples Bar,1200,100,MA32575,(523) 551-5757,98 Front St.,Boston,MA
The Quaint Adventurer Inn,1300,200,CO20160,(530) 654-5952,9978 Dogwood Ave.,Denver,CO
The Quaint Maple,1300,400,MA13952,(844) 576-7271,599 Bay Meadows Avenue,Boston,MA
The Quaint Rats,1400,200,TX92334,(649) 478-5838,2 Marlborough St.,Fort Worth,TX
The Quaint Stag,1500,200,TN11161,(373) 329-4143,233 West Ridgeview Ave.,Nashville,TN
The Rare Inn,1500,200,CA84543,(733) 531-2848,42 Littleton Court,San Francisco,CA
The Reflecting Drumstick,1500,300,PA83175,(824) 446-2968,29 Summit Lane,Philadelphia,PA
The Rich Beard Inn,1300,200,WA44637,(766) 820-2578,76 Poor House St.,Seattle,WA
The Round Castle,1500,300,NV60193,(297) 449-5573,285 Hall Road,Las Vegas,NV
The Ruthless Dawg,1200,400,NC19251,(605) 840-8943,8261 SE. Woodside St.,Charlotte,NC
The Safe Moustache,1500,200,FL42874,(833) 858-5456,1 Baker St.,Jacksonville,FL
The Salty Twig,1300,100,CA64548,(560) 447-6464,7685 Evergreen St.,San Francisco,CA
The Shaking Leg Tavern,1400,100,CA30471,(732) 994-8453,239 South Water St.,San Jose,CA
The Shanty,1300,400,TX49605,(886) 200-4540,859 South Schoolhouse Drive,Fort Worth,TX
The Silver Dollar,1400,200,CA75306,(416) 748-6175,364 Broad St.,San Diego,CA
The Singing Armadillo,1300,100,CA32330,(408) 253-1549,573 West St Paul St.,San Diego,CA
The Slow Saxophone,1400,100,TN63912,(965) 496-4085,8635 Dogwood St.,Nashville,TN
The Smart Child Tavern,1500,400,TX94572,(253) 527-1102,384 East Magnolia Ave.,Fort Worth,TX
The Sound Table,1400,400,TX39518,(946) 713-7496,89 Cardinal Street,Fort Worth,TX
The Special Turtle Pub,1300,300,PA95417,(225) 450-3376,21 Fairway St.,Philadelphia,PA
The Spooky Willow Bar,1400,300,OH37344,(618) 717-8635,206 Inverness Ave.,Columbus,OH
The Stormy Cod Bar,1300,300,IL49713,(673) 777-5785,71 West Second Dr.,Chicago,IL
The Superb Drum Bar,1400,100,PA24058,(784) 439-0906,38 Hartford Court,Philadelphia,PA
The Terrible Cave Bar,1400,300,IN82196,(347) 724-0329,8860 West Brickell Lane,Indianapolis,IN
The Thin King,1200,300,CO49398,(648) 972-2622,76 Surrey Street,Denver,CO
The Thoughtful Lion Pub,1300,100,AZ70965,(549) 559-9072,7559 East Rockledge St.,Phoenix,AZ
The Tiny Chimpanzee Bar,1500,100,MI84264,(931) 685-9551,82 Wrangler Ave.,Detroit,MI
The Tricky Curry Tavern,1500,300,TX48321,(429) 949-3636,143 West Sugar Street,Austin,TX
The Twin Stream Tavern,1500,200,OH56181,(476) 451-6150,9352 Sherman Street,Columbus,OH
The Unusual Jackal Pub,1400,400,TX62750,(601) 358-1322,31 Glen Creek Dr.,Austin,TX
The Unwritten Fish Tavern,1300,100,FL29873,(620) 773-0178,14 Manhattan St.,Jacksonville,FL
The Upstairs Bar,1200,300,FL77722,(930) 371-5311,36 University Road,Jacksonville,FL
The Varnish,1400,200,MI44921,(285) 920-1488,7823 Beechwood Street,Detroit,MI
The Velvet Tango Room,1500,300,AZ47717,(238) 953-1876,813 Beach Road,Phoenix,AZ
The Violet Hour,1400,200,TX11996,(819) 342-8123,39 St Margarets Drive,El Paso,TX
The Wayland,1400,300,CO31125,(986) 440-7325,99 Lancaster St.,Denver,CO
The Well-Groomed Pumpkin Inn,1200,400,TX27563,(615) 875-0538,40 Rockcrest Rd.,Dallas,TX
The Wet Grape Tavern,1500,200,OH27053,(289) 810-3267,7 Linda St.,Columbus,OH
The Whimsical Cheese Bar,1400,400,TX67130,(785) 676-9659,7016 Old Main St.,Houston,TX
The Whimsical Zebra Pub,1400,300,MA56884,(938) 607-6550,8016 S. Bellevue Lane,Boston,MA
The Whining Pig,1200,300,NV69926,(708) 726-5609,171 Taylor Ave.,Las Vegas,NV
The Whispering Giant Tavern,1300,100,IN29364,(439) 486-9056,23 Rose Street,Indianapolis,IN
The Whispering Mushroom Bar,1300,100,WA27744,(454) 357-4332,351 Shirley Rd.,Seattle,WA
Ticonderoga Club,1200,300,TX82212,(724) 275-1551,896 Madison Ave.,San Antonio,TX
Tiki-Ti,1200,100,FL76091,(254) 898-0183,8195 N. Purple Finch Court,Jacksonville,FL
Tiny's Bar,1300,400,WA97932,(562) 915-0705,8351 Old Bowman Dr.,Seattle,WA
Tommy's,1500,100,TX48486,(273) 352-2497,909 Manhattan St.,Dallas,TX
Tradition,1300,300,CA49555,(565) 461-7083,7033 Pearl St.,San Jose,CA
Trick Dog,1400,200,WA11326,(377) 395-4704,961 Bayport St.,Seattle,WA
Vena's Fizz House,1300,100,WA23580,(935) 593-4795,8 Addison Drive,Seattle,WA
Vesper Bar,1300,400,NC78030,(542) 607-1294,7104 Meadowbrook Street,Charlotte,NC
Voodoo,1300,400,OH73691,(436) 470-0738,723 North Pendergast Court,Columbus,OH
Wally's Mills Liquors,1500,300,IN53503,(429) 833-6938,20 Pumpkin Hill Rd.,Indianapolis,IN
Wang Chung's Karaoke Bar,1200,300,NC31712,(976) 727-0193,53 Plumb Branch Drive,Charlotte,NC
Weather Up,1400,200,NY88549,(817) 607-9637,344 East St.,New York City,NY
Yard House,1300,400,NY66624,(872) 512-1364,35 North San Juan Dr.,New York City,NY
Ye Olde Gentlewoman Tavern,1300,100,WA85808,(692) 819-3601,5 Marshall St.,Seattle,WA
Ye Olde Seagulls Tavern,1300,400,CO45231,(720) 830-3855,9282 Woodside Road,Denver,CO
Yvonne's,1500,200,MA33105,(342) 818-5168,454 Strawberry St.,Boston,MA
